issue_type,latitude,longitude,date,data_source
Clean Inlets,32.369217,-86.3119072,2021/1/25 14:34,311_Service_Request
Clean Inlets,32.368212,-86.310299,2021/1/25 14:41,311_Service_Request
Nuisance,32.4144588,-86.2867524,2021/1/25 14:52,311_Service_Request
Clean Inlets,32.3293051,-86.3125377,2021/1/25 15:27,311_Service_Request
Nuisance,32.3606441,-86.2699978,2021/1/25 15:30,311_Service_Request
Clean Inlets,32.3445959,-86.303647,2021/1/25 15:41,311_Service_Request
General Sanitation Inquiry,32.3045871,-86.2359958,2021/1/25 15:59,311_Service_Request
Nuisance,32.3041721,-86.2265093,2021/1/25 16:36,311_Service_Request
Nuisance,32.3041721,-86.2265093,2021/1/25 16:36,311_Service_Request
Nuisance,32.3558155,-86.2353211,2021/1/25 16:43,311_Service_Request
Nuisance,32.3799336,-86.2690856,2021/1/25 18:08,311_Service_Request
Nuisance,32.3793544,-86.2689269,2021/1/25 18:09,311_Service_Request
Nuisance,32.3791346,-86.2689666,2021/1/25 18:09,311_Service_Request
Nuisance,32.4160052,-86.2854875,2021/1/25 18:52,311_Service_Request
Nuisance,32.3562765,-86.2501033,2021/1/25 20:31,311_Service_Request
Nuisance,32.3205367,-86.2563522,2021/1/25 21:43,311_Service_Request
Nuisance,32.3280611,-86.3117861,2021/1/26 15:34,311_Service_Request
Clean Inlets,32.366146,-86.3168982,2021/1/26 16:58,311_Service_Request
Nuisance,32.3379657,-86.2260528,2021/1/26 17:17,311_Service_Request
Nuisance,32.3565865,-86.2966638,2021/1/26 17:23,311_Service_Request
Nuisance,32.3565865,-86.2966638,2021/1/26 17:24,311_Service_Request
Nuisance,32.3298004,-86.2931554,2021/1/26 17:34,311_Service_Request
Clean Inlets,32.3769704,-86.1155765,2021/1/26 18:04,311_Service_Request
Clean Inlets,32.3784662,-86.2678442,2021/1/26 19:45,311_Service_Request
Nuisance,32.341011,-86.299527,2021/1/26 20:10,311_Service_Request
Nuisance,32.3873313,-86.2861775,2021/1/26 20:30,311_Service_Request
Nuisance,32.3306055,-86.3192346,2021/1/26 21:39,311_Service_Request
Nuisance,32.3565865,-86.2966638,2021/1/26 21:51,311_Service_Request
Nuisance,32.312389,-86.2230461,2021/1/27 14:05,311_Service_Request
Nuisance,32.3399318,-86.2174875,2021/1/27 14:23,311_Service_Request
Nuisance,32.3514535,-86.3233828,2021/1/27 14:24,311_Service_Request
Nuisance,32.4144588,-86.2867524,2021/1/27 14:42,311_Service_Request
Nuisance,32.3411138,-86.3339329,2021/1/27 15:55,311_Service_Request
Nuisance,32.3408789,-86.3334575,2021/1/27 15:56,311_Service_Request
Nuisance,32.3436771,-86.3902806,2021/1/27 16:21,311_Service_Request
General Sanitation Inquiry,32.3107755,-86.1402434,2021/1/27 16:29,311_Service_Request
Nuisance,32.350752,-86.312415,2021/1/27 16:54,311_Service_Request
Clean Inlets,32.3237816,-86.3142021,2021/1/27 17:16,311_Service_Request
General Sanitation Inquiry,32.34542739,-86.2817083,2021/1/27 18:09,311_Service_Request
Nuisance,32.2998613,-86.3449835,2021/1/27 18:40,311_Service_Request
Nuisance,32.3342213,-86.3219289,2021/1/27 19:05,311_Service_Request
General Sanitation Inquiry,32.3406075,-86.2998152,2021/1/27 19:19,311_Service_Request
Nuisance,32.3697631,-86.3087775,2021/1/27 20:23,311_Service_Request
Nuisance,32.3629629,-86.3060976,2021/1/27 20:52,311_Service_Request
Nuisance,32.3916083,-86.249151,2021/1/28 13:53,311_Service_Request
Nuisance,32.4100095,-86.2909749,2021/1/28 15:40,311_Service_Request
Nuisance,32.4169806,-86.2910046,2021/1/28 15:42,311_Service_Request
Nuisance,32.4042645,-86.2821315,2021/1/28 15:44,311_Service_Request
Nuisance,32.4038254,-86.2850277,2021/1/28 15:45,311_Service_Request
Nuisance,32.4034836,-86.2854242,2021/1/28 15:48,311_Service_Request
Nuisance,32.4036603,-86.2854242,2021/1/28 15:49,311_Service_Request
Nuisance,32.329652,-86.306841,2021/1/28 15:50,311_Service_Request
Nuisance,32.3295599,-86.3076235,2021/1/28 15:51,311_Service_Request
Nuisance,32.328916,-86.307529,2021/1/28 15:53,311_Service_Request
Nuisance,32.3281448,-86.3076235,2021/1/28 16:01,311_Service_Request
Nuisance,32.3430919,-86.3243854,2021/1/28 16:03,311_Service_Request
Nuisance,32.3370164,-86.2813797,2021/1/28 16:04,311_Service_Request
Nuisance,32.3698046,-86.2989431,2021/1/28 16:05,311_Service_Request
Nuisance,32.3472284,-86.3427854,2021/1/28 16:06,311_Service_Request
Nuisance,32.384407,-86.1998062,2021/1/28 16:07,311_Service_Request
Nuisance,32.335723,-86.3112299,2021/1/28 16:08,311_Service_Request
Nuisance,32.3354416,-86.3106751,2021/1/28 16:09,311_Service_Request
Nuisance,32.4112464,-86.2834416,2021/1/28 16:10,311_Service_Request
Nuisance,32.4112848,-86.2832433,2021/1/28 16:11,311_Service_Request
Nuisance,32.414367,-86.2798728,2021/1/28 16:12,311_Service_Request
Nuisance,32.3663925,-86.2745588,2021/1/28 16:15,311_Service_Request
Clean Inlets,32.304959,-86.2622727,2021/1/28 16:23,311_Service_Request
Nuisance,32.353889,-86.316929,2021/1/28 17:43,311_Service_Request
Nuisance,32.3124792,-86.2590498,2021/1/28 18:04,311_Service_Request
Nuisance,32.3112515,-86.2589073,2021/1/28 18:08,311_Service_Request
Nuisance,32.369473,-86.313858,2021/1/28 19:47,311_Service_Request
Nuisance,32.3391269,-86.3237416,2021/1/28 21:29,311_Service_Request
Nuisance,32.2966847,-86.3468052,2021/1/29 19:07,311_Service_Request
Nuisance,32.3022725,-86.2618085,2021/1/29 21:09,311_Service_Request
Clean Inlets,32.370111,-86.304681,2021/2/1 13:28,311_Service_Request
Nuisance,32.4144588,-86.2867524,2021/2/1 14:45,311_Service_Request
Nuisance,32.385328,-86.259594,2021/2/1 16:47,311_Service_Request
Clean Inlets,32.3196021,-86.2557414,2021/2/1 18:30,311_Service_Request
Nuisance,32.4144588,-86.2867524,2021/2/1 19:40,311_Service_Request
Nuisance,32.3474634,-86.3363888,2021/2/1 20:25,311_Service_Request
Clean Inlets,32.397142,-86.4003089,2021/2/1 21:04,311_Service_Request
Nuisance,32.3345476,-86.3164212,2021/2/1 22:43,311_Service_Request
Nuisance,32.3965619,-86.2041156,2021/2/2 15:12,311_Service_Request
Nuisance,32.3382664,-86.223532,2021/2/2 15:23,311_Service_Request
Nuisance,32.3246211,-86.2839174,2021/2/2 16:27,311_Service_Request
Nuisance,32.3595622,-86.2903406,2021/2/2 17:05,311_Service_Request
Nuisance,32.3603967,-86.3007269,2021/2/2 17:10,311_Service_Request
Nuisance,32.3890242,-86.1768647,2021/2/2 17:26,311_Service_Request
Nuisance,32.4278666,-86.2791987,2021/2/2 18:19,311_Service_Request
Nuisance,32.4278666,-86.2791987,2021/2/2 18:19,311_Service_Request
Clean Inlets,32.3980097,-86.2218601,2021/2/2 19:39,311_Service_Request
Nuisance,32.3270197,-86.2748438,2021/2/2 20:14,311_Service_Request
Nuisance,32.3925325,-86.1950203,2021/2/2 23:05,311_Service_Request
Nuisance,32.359842,-86.2840562,2021/2/3 15:12,311_Service_Request
Clean Inlets,32.3401983,-86.1555225,2021/2/3 17:29,311_Service_Request
Clean Inlets,32.3401983,-86.1555225,2021/2/3 17:29,311_Service_Request
Nuisance,32.3268027,-86.2024476,2021/2/3 17:34,311_Service_Request
Clean Inlets,32.3957296,-86.1955367,2021/2/3 17:55,311_Service_Request
Nuisance,32.3619266,-86.3137662,2021/2/3 18:53,311_Service_Request
Nuisance,32.3733135,-86.2724172,2021/2/3 18:55,311_Service_Request
Nuisance,32.3619704,-86.2752528,2021/2/3 18:58,311_Service_Request
Nuisance,32.4191946,-86.2802694,2021/2/3 19:01,311_Service_Request
Nuisance,32.3601205,-86.2492899,2021/2/3 19:03,311_Service_Request
Nuisance,32.3703915,-86.2722585,2021/2/3 19:05,311_Service_Request
Nuisance,32.3697897,-86.2803487,2021/2/3 19:07,311_Service_Request
Nuisance,32.3505312,-86.3331604,2021/2/3 19:09,311_Service_Request
Clean Inlets,32.3558627,-86.2893097,2021/2/3 22:14,311_Service_Request
Nuisance,32.2961403,-86.3417359,2021/2/4 15:35,311_Service_Request
General Sanitation Inquiry,32.3849367,-86.2223512,2021/2/4 15:49,311_Service_Request
Nuisance,32.3375877,-86.2194524,2021/2/4 18:23,311_Service_Request
General Sanitation Inquiry,32.3434576,-86.3286047,2021/2/4 18:41,311_Service_Request
Drains,32.3957658,-86.2529234,2021/2/4 19:24,311_Service_Request
Nuisance,32.3623505,-86.3258767,2021/2/4 20:29,311_Service_Request
Nuisance,32.3455991,-86.3422508,2021/2/4 20:35,311_Service_Request
Nuisance,32.3465767,-86.316471,2021/2/4 20:41,311_Service_Request
Nuisance,32.3625862,-86.322761,2021/2/4 20:47,311_Service_Request
Nuisance,32.3626544,-86.3226971,2021/2/4 20:51,311_Service_Request
Nuisance,32.3527554,-86.3168769,2021/2/4 20:57,311_Service_Request
Nuisance,32.3525151,-86.316976,2021/2/4 20:57,311_Service_Request
Nuisance,32.3531306,-86.3168571,2021/2/4 20:58,311_Service_Request
Nuisance,32.353243,-86.316958,2021/2/4 20:58,311_Service_Request
Nuisance,32.3533799,-86.3169611,2021/2/4 20:59,311_Service_Request
Nuisance,32.3535296,-86.3168967,2021/2/4 20:59,311_Service_Request
Nuisance,32.3536585,-86.3169197,2021/2/4 21:00,311_Service_Request
Nuisance,32.3540171,-86.3169363,2021/2/4 21:01,311_Service_Request
Nuisance,32.3541146,-86.316867,2021/2/4 21:02,311_Service_Request
Nuisance,32.354259,-86.316941,2021/2/4 21:02,311_Service_Request
Nuisance,32.3452275,-86.2794366,2021/2/4 22:34,311_Service_Request
Nuisance,32.3974358,-86.276621,2021/2/5 14:06,311_Service_Request
Nuisance,32.3246211,-86.2839174,2021/2/5 14:23,311_Service_Request
Nuisance,32.3717479,-86.32754,2021/2/5 14:27,311_Service_Request
Clean Inlets,32.3597956,-86.2757089,2021/2/5 14:42,311_Service_Request
Nuisance,32.3945437,-86.1943054,2021/2/5 14:55,311_Service_Request
Nuisance,32.330519,-86.3110605,2021/2/5 15:37,311_Service_Request
Nuisance,32.3300872,-86.3120622,2021/2/5 15:38,311_Service_Request
Nuisance,32.3301118,-86.3113884,2021/2/5 15:39,311_Service_Request
Nuisance,32.3300618,-86.3111903,2021/2/5 15:39,311_Service_Request
